"id","Scientific.Name","Common Name","effects","img_dir","item_activation_status_id","item_activation_status_name","item_type_id","item_type_name"
NA,"Achillea millefolium","Milfoil",NA,NA,0,"inactive",0,"plant"
NA,"Allium ampeloprasum","Leek",NA,NA,0,"inactive",0,"plant"
NA,"Ammi majus","False Queen Anne's Lace",NA,NA,0,"inactive",0,"plant"
NA,"Anthemis cotula","Poison Daisy",NA,NA,0,"inactive",0,"plant"
NA,"Anthemis nobilis","Garden Chamomile",NA,NA,0,"inactive",0,"plant"
NA,"Conium maculatum","Poison Hemlock",NA,NA,0,"inactive",0,"plant"
NA,"Cordyline australis","Palm Lily",NA,NA,0,"inactive",0,"plant"
NA,"Digitalis purpurea","Foxglove",NA,NA,0,"inactive",0,"plant"
NA,"Hedera helix","Branching Ivy",NA,NA,0,"inactive",0,"plant"
NA,"Humulus lupulus","Hops",NA,NA,0,"inactive",0,"plant"
NA,"Hypericum perforatum","St. John's Wort",NA,NA,0,"inactive",0,"plant"
NA,"Ilex aquifolium","European Holly",NA,NA,0,"inactive",0,"plant"
NA,"Lantana camara","Lantana",NA,NA,0,"inactive",0,"plant"
NA,"Lathyrus latifolius","Everlasting Pea",NA,NA,0,"inactive",0,"plant"
NA,"Ligustrum vulgare","Common Privet",NA,NA,0,"inactive",0,"plant"
NA,"Melia azedarach","Chinaberry Tree",NA,NA,0,"inactive",0,"plant"
NA,"Nerium oleander","Oleander",NA,NA,0,"inactive",0,"plant"
NA,"Nicotiana glauca","Tobacco",NA,NA,0,"inactive",0,"plant"
NA,"Portulaca oleracea","Purslane",NA,NA,0,"inactive",0,"plant"
NA,"Prunus domestica","Plum",NA,NA,0,"inactive",0,"plant"
NA,"Prunus persica","Peach",NA,NA,0,"inactive",0,"plant"
NA,"Ranunculus acris","Figwort",NA,NA,0,"inactive",0,"plant"
NA,"Ricinus communis","African Wonder Tree",NA,NA,0,"inactive",0,"plant"
NA,"Solanum nigrum","Black Nightshade",NA,NA,0,"inactive",0,"plant"
NA,"Solanum pseudocapsicum","Ornamental Pepper",NA,NA,0,"inactive",0,"plant"
NA,"Zantedeschia aethiopica","Calla Lily",NA,NA,0,"inactive",0,"plant"
